Indicator,Coefficient,Abs_Coefficient
social_loss_non_religious,0.16970849174314526,0.16970849174314526
network_nonradical_places_locations,-0.14651323173212416,0.14651323173212416
network_radical_group,-0.14320948742920284,0.14320948742920284
network_nonradical_educational_setting,0.1346362867490215,0.1346362867490215
quest_significance_dualistic,0.13391159872868913,0.13391159872868913
individual_loss_radical_activities,0.12331487429228784,0.12331487429228784
identity_fusion_behavior_fight_die,0.11633887554896413,0.11633887554896413
network_radical_individual,-0.11308818234367259,0.11308818234367259
individual_loss_career,0.10947454857663333,0.10947454857663333
individual_loss_interpersonal,-0.10632448784993569,0.10632448784993569
identity_fusion_target_family,-0.10274888215345036,0.10274888215345036
identity_fusion_behavior_no_fight_die,-0.09516187501298823,0.09516187501298823
narrative_nonviolent_salafi,-0.0946902587513505,0.0946902587513505
network_radical_family_member,0.094228359709498,0.094228359709498
identity_fusion_defusion_reduction,0.09109854064984918,0.09109854064984918
identity_fusion_behavior_prioritize_group,-0.08850506322945352,0.08850506322945352
individual_loss_finances,-0.08550387080907364,0.08550387080907364
network_nonradical_family_member,0.07999584049090361,0.07999584049090361
significance_gain_interpersonal,0.07852954876846215,0.07852954876846215
identity_fusion_target_leader,0.07695337289621897,0.07695337289621897
narrative_disagreement_group_military_violent,-0.0753312970924624,0.0753312970924624
identity_fusion_behavior_risks_group,-0.07364751351022908,0.07364751351022908
significance_gain_educational,0.07318466713961687,0.07318466713961687
social_loss_radical_religious,-0.07314095151796242,0.07314095151796242
narrative_nonviolent_rida,0.06501521658531548,0.06501521658531548
narrative_disagreement_ideology_salafi,0.06451969380559354,0.06451969380559354
significance_gain_martyrdom,0.06382049987434174,0.06382049987434174
network_nonradical_group,-0.06368268428060363,0.06368268428060363
narrative_nonviolent_muslim_brotherhood,-0.06280270761177477,0.06280270761177477
identity_fusion_target_god,-0.06179701081415386,0.06179701081415386
individual_loss_others,0.058784222475782515,0.058784222475782515
narrative_nonviolent_jihad,-0.05872689284420264,0.05872689284420264
identity_fusion_target_self,-0.056323071555413995,0.056323071555413995
narrative_disagreement_group_unspecified,0.056188660631925604,0.056188660631925604
network_radical_educational_setting,-0.05469416249995389,0.05469416249995389
narrative_violent_martyrdom,-0.05437291369438238,0.05437291369438238
narrative_nonviolent_thogut,0.05393796305297663,0.05393796305297663
identity_fusion_behavior_risks_family,0.05109392476699578,0.05109392476699578
individual_loss_religious,-0.049818944251272264,0.049818944251272264
narrative_violent_salafi_jihadism,0.04308277581815805,0.04308277581815805
narrative_disagreement_group_strategies,0.04289471161714629,0.04289471161714629
identity_fusion_defusion_replacement,0.041619283735832,0.041619283735832
individual_loss_education,0.03811561561496385,0.03811561561496385
network_nonradical_individual,-0.03776497320824515,0.03776497320824515
significance_gain_miscellaneous,0.0372958703874577,0.0372958703874577
significance_gain_leadership,0.03467672440960428,0.03467672440960428
quest_significance_non_radical,0.034667244113350905,0.034667244113350905
narrative_violent_necessity,0.032438661806133105,0.032438661806133105
identity_fusion_target_value,0.03235961962780456,0.03235961962780456
narrative_violent_jihad_qital,-0.0317931081299789,0.0317931081299789
network_nonradical_social_media,-0.03122308667385136,0.03122308667385136
network_radical_places_locations,0.028202843697735423,0.028202843697735423
significance_gain_religious,-0.023829006441017618,0.023829006441017618
significance_gain_career,0.02343973813188529,0.02343973813188529
individual_loss_health,0.021952302120447048,0.021952302120447048
quest_significance_competing,-0.02003821154211096,0.02003821154211096
network_nonradical_online_platforms,0.019303289817766356,0.019303289817766356
narrative_disagreement_ideology_takfiri,-0.0186213888841349,0.0186213888841349
narrative_religious_historical_references,-0.01853875295897076,0.01853875295897076
narrative_nonviolent_baiat,0.018484321557823404,0.018484321557823404
narrative_violent_takfiri,0.015535633581621992,0.015535633581621992
narrative_nonviolent_political_views,0.015444965599739329,0.015444965599739329
identity_fusion_target_group,0.014017746604083628,0.014017746604083628
significance_gain_radical_activities,0.013572319600024483,0.013572319600024483
identity_fusion_defusion_removal,-0.013046014163133604,0.013046014163133604
social_loss_non_radical_religious,0.010138873858410107,0.010138873858410107
narrative_disagreement_ideology_thogut,-0.00988137917175737,0.00988137917175737
narrative_disagreement_group_political,-0.009639471412941072,0.009639471412941072
quest_significance_radical,0.009165276767253264,0.009165276767253264
network_radical_online_platforms,0.006962772510280897,0.006962772510280897
network_radical_social_media,0.006748270073958825,0.006748270073958825
narrative_violent_allowability,0.006290771500269861,0.006290771500269861
significance_gain_training,0.005729702764759055,0.005729702764759055
significance_gain_vengeance,0.005503613688973146,0.005503613688973146
identity_fusion_behavior_defend_group,0.005416324915820565,0.005416324915820565
narrative_unspecified,0.005075136228663197,0.005075136228663197
narrative_disagreement_group_religious,0.00466756942885481,0.00466756942885481
individual_loss_self_esteem,-0.0037573041907326315,0.0037573041907326315
narrative_differences_radical_groups,-0.003725317376110855,0.003725317376110855
